"","mod","x","y","angle","height","period","wind"
"1","mod000",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"2","mod001",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"3","mod002",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"4","mod003",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"5","mod004",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"6","mod005",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"7","mod006",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"8","mod007",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"9","mod008",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"10","mod009",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"11","mod010",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"12","mod011",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"13","mod012",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"14","mod013",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"15","mod014",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"16","mod015",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"17","mod016",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"18","mod017",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"19","mod018",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"20","mod019",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"21","mod020",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"22","mod021",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"23","mod022",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"24","mod023",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"25","mod024",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"26","mod025",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"27","mod026",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"28","mod027",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"29","mod028",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"30","mod029",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"31","mod030",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"32","mod031",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"33","mod032",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"34","mod033",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"35","mod034",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"36","mod035",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"37","mod036",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"38","mod037",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"39","mod038",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"40","mod039",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"41","mod040",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"42","mod041",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"43","mod042",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"44","mod043",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"45","mod044",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"46","mod045",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"47","mod046",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"48","mod047",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"49","mod048",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"50","mod049",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"51","mod050",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"52","mod051",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"53","mod052",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"54","mod053",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"55","mod054",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"56","mod055",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"57","mod056",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"58","mod057",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"59","mod058",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"60","mod059",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"61","mod060",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"62","mod061",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"63","mod062",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"64","mod063",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"65","mod064",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"66","mod065",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"67","mod066",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"68","mod067",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"69","mod068",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"70","mod069",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"71","mod070",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"72","mod071",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"73","mod072",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"74","mod073",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"75","mod074",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"76","mod075",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"77","mod076",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"78","mod077",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"79","mod078",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"80","mod079",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"81","mod080",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"82","mod081",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"83","mod082",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"84","mod083",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"85","mod084",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"86","mod085",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"87","mod086",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"88","mod087",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"89","mod088",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"90","mod089",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"91","mod090",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"92","mod091",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"93","mod092",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"94","mod093",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"95","mod094",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"96","mod095",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"97","mod096",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"98","mod097",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"99","mod098",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"100","mod099",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"101","mod100",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
"102","mod101",-119.667,34.16667,231.964869181315,0.592367132504781,12.2231899897257,2.54291518529256
