"","mod","x","y","angle","height","period","wind"
"1","mod000",-120.5,34.16667,294.515757242839,2.05340111255646,8.02567497889201,10.9507617950439
"2","mod000",-120.167,33.66633,296.402425130208,1.92795753479004,7.78087441126506,9.22662258148193
"3","mod000",-119.667,34.16667,258.317571004232,1.12750140825907,8.43159818649292,1.47182023525238
"4","mod001",-120.5,34.16667,294.515757242839,2.05340111255646,8.02567497889201,10.9507617950439
"5","mod001",-120.167,33.66633,296.402425130208,1.92795753479004,7.78087441126506,9.22662258148193
"6","mod001",-119.667,34.16667,258.317571004232,1.12750140825907,8.43159818649292,1.47182023525238
"7","mod002",-120.5,34.16667,294.515757242839,2.05340111255646,8.02567497889201,10.9507617950439
"8","mod002",-120.167,33.66633,296.402425130208,1.92795753479004,7.78087441126506,9.22662258148193
"9","mod002",-119.667,34.16667,258.317571004232,1.12750140825907,8.43159818649292,1.47182023525238
"10","mod003",-120.5,34.16667,294.515757242839,2.05340111255646,8.02567497889201,10.9507617950439
"11","mod003",-120.167,33.66633,296.402425130208,1.92795753479004,7.78087441126506,9.22662258148193
"12","mod003",-119.667,34.16667,258.317571004232,1.12750140825907,8.43159818649292,1.47182023525238
"13","mod004",-120.5,34.16667,294.515757242839,2.05340111255646,8.02567497889201,10.9507617950439
"14","mod004",-120.167,33.66633,296.402425130208,1.92795753479004,7.78087441126506,9.22662258148193
"15","mod004",-119.667,34.16667,258.317571004232,1.12750140825907,8.43159818649292,1.47182023525238
"16","mod005",-120.5,34.16667,294.515757242839,2.05340111255646,8.02567497889201,10.9507617950439
"17","mod005",-120.167,33.66633,296.402425130208,1.92795753479004,7.78087441126506,9.22662258148193
"18","mod005",-119.667,34.16667,258.317571004232,1.12750140825907,8.43159818649292,1.47182023525238
"19","mod006",-120.5,34.16667,294.515757242839,2.05340111255646,8.02567497889201,10.9507617950439
"20","mod006",-120.167,33.66633,296.402425130208,1.92795753479004,7.78087441126506,9.22662258148193
"21","mod006",-119.667,34.16667,258.317571004232,1.12750140825907,8.43159818649292,1.47182023525238
"22","mod007",-120.5,34.16667,294.515757242839,2.05340111255646,8.02567497889201,10.9507617950439
"23","mod007",-120.167,33.66633,296.402425130208,1.92795753479004,7.78087441126506,9.22662258148193
"24","mod007",-119.667,34.16667,258.317571004232,1.12750140825907,8.43159818649292,1.47182023525238
"25","mod008",-120.5,34.16667,294.515757242839,2.05340111255646,8.02567497889201,10.9507617950439
"26","mod008",-120.167,33.66633,296.402425130208,1.92795753479004,7.78087441126506,9.22662258148193
"27","mod008",-119.667,34.16667,258.317571004232,1.12750140825907,8.43159818649292,1.47182023525238
"28","mod009",-120.5,34.16667,294.515757242839,2.05340111255646,8.02567497889201,10.9507617950439
"29","mod009",-120.167,33.66633,296.402425130208,1.92795753479004,7.78087441126506,9.22662258148193
"30","mod009",-119.667,34.16667,258.317571004232,1.12750140825907,8.43159818649292,1.47182023525238
