"","mod","x","y","angle","height","period","wind"
"1","mod000",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"2","mod001",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"3","mod002",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"4","mod003",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"5","mod004",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"6","mod005",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"7","mod006",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"8","mod007",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"9","mod008",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"10","mod009",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"11","mod010",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"12","mod011",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"13","mod012",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"14","mod013",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"15","mod014",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"16","mod015",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"17","mod016",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"18","mod017",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"19","mod018",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"20","mod019",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"21","mod020",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"22","mod021",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"23","mod022",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"24","mod023",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
"25","mod024",-120.167,33.66633,209.689559936523,1.1091548204422,15.5324471791585,6.45854028065999
