"","date","angle","height","period","wind"
"1","2022.06.26.10.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
"2","2022.06.26.11.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
"3","2022.06.26.12.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
"4","2022.06.26.13.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
"5","2022.06.26.14.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
"6","2022.06.26.15.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
"7","2022.06.26.16.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
"8","2022.06.26.17.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
"9","2022.06.26.18.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
"10","2022.06.26.19.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
"11","2022.06.26.20.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
"12","2022.06.26.21.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
"13","2022.06.26.22.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
"14","2022.06.26.23.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
"15","2022.06.27.00.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
"16","2022.06.27.01.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
"17","2022.06.27.02.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
"18","2022.06.27.03.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
"19","2022.06.27.04.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
"20","2022.06.27.05.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
"21","2022.06.27.06.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
"22","2022.06.27.07.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
"23","2022.06.27.08.41.56",209.294520060221,1.26068063577016,14.6223328908285,8.86660639444987
