"","date","angle","height","period","wind"
"1","2022.07.04.10.45.52",299.554433186849,1.29761012395223,6.04211489359538,10.0408016840617
"2","2022.07.04.11.45.52",299.655466715495,1.25162251790365,6.01421213150024,9.63846588134766
"3","2022.07.04.12.45.52",281.931437174479,1.19775752226512,7.30283959706624,9.31305726369222
"4","2022.07.04.13.45.52",280.854293823242,1.1462669968605,7.22096649805705,9.10544109344482
"5","2022.07.04.14.45.52",255.754318237305,1.11400024096171,8.75078328450521,9.1902821858724
"6","2022.07.04.15.45.52",255.010553995768,1.11526789267858,8.68134593963623,9.60424327850342
"7","2022.07.04.16.45.52",270.833938598633,1.11385387182236,7.19837220509847,9.4564094543457
"8","2022.07.04.17.45.52",270.487258911133,1.09899703661601,6.82476043701172,9.40782006581624
"9","2022.07.04.18.45.52",237.183039347331,1.09741373856862,9.3101216952006,9.74734910329183
"10","2022.07.04.19.45.52",236.724268595378,1.10281705856323,9.30984910329183,9.94976806640625
"11","2022.07.04.20.45.52",236.570073445638,1.09834976991018,9.30070797602336,9.86783091227213
"12","2022.07.04.21.45.52",274.71489461263,1.09051128228505,6.22282377878825,10.011528968811
"13","2022.07.04.22.45.52",275.07096862793,1.08709522088369,6.21396970748901,9.92684205373128
"14","2022.07.04.23.45.52",274.905431111654,1.07553422451019,6.21257050832113,9.58932399749756
"15","2022.07.05.00.45.52",226.631032307943,1.02745626370112,10.1744025548299,9.01400057474772
"16","2022.07.05.01.45.52",212.319880167643,0.971573452154795,11.4727010726929,8.46989965438843
"17","2022.07.05.02.45.52",212.400344848633,0.924604296684265,11.4493096669515,8.21830526987712
"18","2022.07.05.03.45.52",212.818003336589,0.877602676550547,11.4226010640462,7.60611454645793
"19","2022.07.05.04.45.52",213.199315388997,0.841163118680318,11.4042307535807,7.66158008575439
"20","2022.07.05.05.45.52",205.413706461589,0.81689045826594,12.3814010620117,7.54116773605347
"21","2022.07.05.06.45.52",206.422098795573,0.808004101117452,12.3685261408488,7.73115094502767
"22","2022.07.05.07.45.52",207.070724487305,0.820255855719248,12.3502286275228,8.09422890345255
"23","2022.07.05.08.45.52",215.810302734375,0.842153469721476,11.3272946675618,8.36334419250488
"24","2022.07.05.09.45.52",215.988627115885,0.850782950719198,11.3002449671427,8.31731605529785
"25","2022.07.05.10.45.52",215.96967569987,0.856573402881622,11.2609446843465,8.27196868260702
"26","2022.07.05.11.45.52",215.795481363932,0.867982963720957,11.2077414194743,8.19629605611165
"27","2022.07.05.12.45.52",219.781041463216,0.864339033762614,11.1421467463175,7.68398745854696
"28","2022.07.05.13.45.52",255.069183349609,0.858145912488302,9.87535540262858,7.26554298400879
"29","2022.07.05.14.45.52",277.543334960938,0.877116103967031,8.50977325439453,7.51003885269165
"30","2022.07.05.15.45.52",289.528391520182,0.898306131362915,7.7903315226237,7.58701451619466
"31","2022.07.05.16.45.52",288.639180501302,0.918196062246958,7.85049120585124,7.55550845464071
"32","2022.07.05.17.45.52",287.376831054688,0.946352005004883,7.41962385177612,7.83404572804769
"33","2022.07.05.18.45.52",286.643707275391,0.967928250630697,7.4167750676473,7.97331110636393
"34","2022.07.05.19.45.52",286.435801188151,0.965338269869486,7.39745457967122,7.5275813738505
"35","2022.07.05.20.45.52",285.913238525391,0.96703161795934,7.37727292378743,7.61117029190063
"36","2022.07.05.21.45.52",285.68061319987,0.962373514970144,7.34602832794189,7.44640000661214
"37","2022.07.05.22.45.52",285.574981689453,0.958725452423096,7.29253832499186,7.57316637039185
"38","2022.07.05.23.45.52",285.96098836263,0.961640516916911,7.21859916051229,7.56481122970581
"39","2022.07.06.00.45.52",285.806396484375,0.955422222614288,7.52210156122843,7.23988691965739
"40","2022.07.06.01.45.52",281.011901855469,0.949216802914937,7.73971970876058,7.16045920054118
"41","2022.07.06.02.45.52",253.180638631185,0.945155183474223,9.93421157201131,7.15287828445435
"42","2022.07.06.03.45.52",256.32502746582,0.950308481852214,9.9130605061849,7.28792317708333
"43","2022.07.06.04.45.52",246.103861490885,0.955464522043864,11.1514495213827,7.28973420461019
"44","2022.07.06.05.45.52",250.040496826172,0.953736881415049,11.1144514083862,7.04093599319458
"45","2022.07.06.06.45.52",253.262944539388,0.954931259155273,11.0706055959066,6.96050643920898
"46","2022.07.06.07.45.52",261.926355997721,0.976435482501984,11.2108163833618,7.59218724568685
"47","2022.07.06.08.45.52",280.860758463542,1.00131316979726,10.6989364624023,7.84614785512288
"48","2022.07.06.09.45.52",284.285532633464,1.02635606129964,10.576649983724,8.05961513519287
"49","2022.07.06.10.45.52",285.844685872396,1.02914110819499,10.3857574462891,7.71863698959351
"50","2022.07.06.11.45.52",286.706013997396,1.04549519220988,10.1688187917074,8.01790189743042
"51","2022.07.06.12.45.52",288.288645426432,1.05538183450699,10.0043576558431,7.80619398752848
"52","2022.07.06.13.45.52",289.042755126953,1.06680117050807,9.94411849975586,7.89111789067586
"53","2022.07.06.14.45.52",289.222432454427,1.07340995470683,9.9035545984904,7.85173511505127
"54","2022.07.06.15.45.52",289.409840901693,1.08197623491287,9.87627379099528,8.00829362869263
"55","2022.07.06.16.45.52",289.611063639323,1.08117149273554,9.8619057337443,7.53208605448405
"56","2022.07.06.17.45.52",289.835866292318,1.07481519381205,9.85038630167643,7.74428955713908
"57","2022.07.06.18.45.52",290.076507568359,1.08788987000783,9.82241630554199,8.08615477879842
"58","2022.07.06.19.45.52",289.019571940104,1.09687880674998,9.22347195943197,8.50516080856323
"59","2022.07.06.20.45.52",289.514017740885,1.10805976390839,9.14002593358358,8.76837539672852
