"","date","angle","height","period","wind"
"1","2022.06.26.10.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"2","2022.06.26.11.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"3","2022.06.26.12.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"4","2022.06.26.13.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"5","2022.06.26.14.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"6","2022.06.26.15.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"7","2022.06.26.16.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"8","2022.06.26.17.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"9","2022.06.26.18.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"10","2022.06.26.19.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"11","2022.06.26.20.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"12","2022.06.26.21.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"13","2022.06.26.22.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"14","2022.06.26.23.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"15","2022.06.27.00.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"16","2022.06.27.01.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"17","2022.06.27.02.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"18","2022.06.27.03.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"19","2022.06.27.04.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"20","2022.06.27.05.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"21","2022.06.27.06.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"22","2022.06.27.07.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"23","2022.06.27.08.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"24","2022.06.27.09.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"25","2022.06.27.10.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"26","2022.06.27.11.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"27","2022.06.27.12.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"28","2022.06.27.13.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"29","2022.06.27.14.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"30","2022.06.27.15.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"31","2022.06.27.16.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"32","2022.06.27.17.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"33","2022.06.27.18.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"34","2022.06.27.19.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"35","2022.06.27.20.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"36","2022.06.27.21.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"37","2022.06.27.22.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"38","2022.06.27.23.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"39","2022.06.28.00.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"40","2022.06.28.01.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"41","2022.06.28.02.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"42","2022.06.28.03.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"43","2022.06.28.04.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"44","2022.06.28.05.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"45","2022.06.28.06.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"46","2022.06.28.07.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"47","2022.06.28.08.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"48","2022.06.28.09.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"49","2022.06.28.10.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"50","2022.06.28.11.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"51","2022.06.28.12.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"52","2022.06.28.13.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"53","2022.06.28.14.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"54","2022.06.28.15.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"55","2022.06.28.16.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"56","2022.06.28.17.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"57","2022.06.28.18.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"58","2022.06.28.19.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"59","2022.06.28.20.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
"60","2022.06.28.21.41.56",248.412592569987,0.6324662566185,8.89086246490479,2.175652662913
